,graph_file_pretty,cur_clique,exec_time
1,brock200_1,20,0.209253
2,brock200_1,20,0.151858
3,brock200_1,19,0.338915
4,brock200_1,20,1.4729
5,brock200_1,20,0.110497
6,brock200_1,19,0.42552
7,brock200_1,18,0.21354
8,brock200_1,19,0.125634
9,brock200_1,21,0.206021
10,brock200_1,19,0.118005
11,brock200_1,20,0.229165
12,brock200_1,19,0.870289
13,brock200_1,20,1.58395
14,brock200_1,20,1.8352
15,brock200_1,20,0.20542
16,brock200_1,19,0.145404
17,brock200_1,19,0.274999
18,brock200_1,19,0.177928
19,brock200_1,20,0.198997
20,brock200_1,19,0.938652
1,brock200_2,9,0.711882
2,brock200_2,9,0.390033
3,brock200_2,10,1.48894
4,brock200_2,10,0.521894
5,brock200_2,10,0.304726
6,brock200_2,11,1.64768
7,brock200_2,10,0.553434
8,brock200_2,10,1.18818
9,brock200_2,10,0.526685
10,brock200_2,10,1.47504
11,brock200_2,9,0.480971
12,brock200_2,10,1.26568
13,brock200_2,10,0.209328
14,brock200_2,9,0.903599
15,brock200_2,10,1.46255
16,brock200_2,9,2.71513
17,brock200_2,10,0.319132
18,brock200_2,10,1.57232
19,brock200_2,9,0.491425
20,brock200_2,10,1.59785
1,brock200_3,12,0.165715
2,brock200_3,13,1.89419
3,brock200_3,14,0.608684
4,brock200_3,13,0.248653
5,brock200_3,13,1.48124
6,brock200_3,12,0.283185
7,brock200_3,13,0.204968
8,brock200_3,13,1.1307
9,brock200_3,13,0.247997
10,brock200_3,13,0.684276
11,brock200_3,12,1.77247
12,brock200_3,13,1.49705
13,brock200_3,13,0.304253
14,brock200_3,13,1.62603
15,brock200_3,14,0.609662
16,brock200_3,12,0.328855
17,brock200_3,13,1.74275
18,brock200_3,13,1.83693
19,brock200_3,13,0.411047
20,brock200_3,12,0.226828
1,brock200_4,16,0.421411
2,brock200_4,16,1.75037
3,brock200_4,15,1.38039
4,brock200_4,15,0.146087
5,brock200_4,15,1.64568
6,brock200_4,14,1.84635
7,brock200_4,15,0.192383
8,brock200_4,16,1.33104
9,brock200_4,16,0.43954
10,brock200_4,15,2.99267
11,brock200_4,15,1.03864
12,brock200_4,16,0.524416
13,brock200_4,16,1.73351
14,brock200_4,15,0.214554
15,brock200_4,15,1.09836
16,brock200_4,15,0.282738
17,brock200_4,14,0.554869
18,brock200_4,14,1.95259
19,brock200_4,15,0.891331
20,brock200_4,15,0.174965
1,brock400_1,23,1.31862
2,brock400_1,23,0.251167
3,brock400_1,24,0.403984
4,brock400_1,24,1.9855
5,brock400_1,23,1.01603
6,brock400_1,24,0.492427
7,brock400_1,23,0.253803
8,brock400_1,21,0.655933
9,brock400_1,24,2.99892
10,brock400_1,22,0.233889
11,brock400_1,23,0.229557
12,brock400_1,22,0.346398
13,brock400_1,24,3.28281
14,brock400_1,22,0.202036
15,brock400_1,23,1.01866
16,brock400_1,23,0.530049
17,brock400_1,24,3.90601
18,brock400_1,23,0.262559
19,brock400_1,23,0.499262
20,brock400_1,23,0.760454
1,brock400_2,24,4.35501
2,brock400_2,24,1.7559
3,brock400_2,23,0.793366
4,brock400_2,24,2.18482
5,brock400_2,23,0.509495
6,brock400_2,23,2.81866
7,brock400_2,24,0.610005
8,brock400_2,23,1.14196
9,brock400_2,24,0.392659
10,brock400_2,22,0.316867
11,brock400_2,22,0.219929
12,brock400_2,23,3.29659
13,brock400_2,22,0.244568
14,brock400_2,22,1.13462
15,brock400_2,23,0.385536
16,brock400_2,23,0.760654
17,brock400_2,24,1.59493
18,brock400_2,24,1.87077
19,brock400_2,24,2.1711
20,brock400_2,23,0.615376
1,brock400_3,23,1.27372
2,brock400_3,23,0.577803
3,brock400_3,23,0.556801
4,brock400_3,23,0.31863
5,brock400_3,21,0.613131
6,brock400_3,23,3.4593
7,brock400_3,23,3.89343
8,brock400_3,24,1.58694
9,brock400_3,23,0.641784
10,brock400_3,22,1.27271
11,brock400_3,23,0.650507
12,brock400_3,23,0.37125
13,brock400_3,24,3.82767
14,brock400_3,23,3.25921
15,brock400_3,22,0.548256
16,brock400_3,22,1.63793
17,brock400_3,23,0.770901
18,brock400_3,24,0.545951
19,brock400_3,24,1.39323
20,brock400_3,22,3.82664
1,brock400_4,24,0.409441
2,brock400_4,24,0.472217
3,brock400_4,23,0.673686
4,brock400_4,23,0.40218
5,brock400_4,23,2.61416
6,brock400_4,22,0.311054
7,brock400_4,24,1.28191
8,brock400_4,22,0.823661
9,brock400_4,22,0.408526
10,brock400_4,24,0.501146
11,brock400_4,22,0.240866
12,brock400_4,23,0.34685
13,brock400_4,24,0.305479
14,brock400_4,22,0.294695
15,brock400_4,24,0.576643
16,brock400_4,23,0.583317
17,brock400_4,23,0.314152
18,brock400_4,22,5.21878
19,brock400_4,24,0.503063
20,brock400_4,22,0.347329
1,c-fat200-1,12,1.82472
2,c-fat200-1,10,1.5398
3,c-fat200-1,12,1.7383
4,c-fat200-1,10,1.40635
5,c-fat200-1,12,1.62453
6,c-fat200-1,12,1.63323
7,c-fat200-1,10,1.45823
8,c-fat200-1,12,1.81231
9,c-fat200-1,12,1.78905
10,c-fat200-1,12,1.84206
11,c-fat200-1,12,1.80779
12,c-fat200-1,12,1.81298
13,c-fat200-1,12,1.80712
14,c-fat200-1,12,1.82712
15,c-fat200-1,12,1.77825
16,c-fat200-1,10,1.49979
17,c-fat200-1,10,3.04192
18,c-fat200-1,12,1.83898
19,c-fat200-1,10,1.51476
20,c-fat200-1,12,1.82524
1,c-fat200-2,22,3.26253
2,c-fat200-2,24,3.5623
3,c-fat200-2,22,3.2015
4,c-fat200-2,22,3.08516
5,c-fat200-2,22,3.23032
6,c-fat200-2,22,3.31135
7,c-fat200-2,24,3.53309
8,c-fat200-2,22,3.14441
9,c-fat200-2,22,4.6423
10,c-fat200-2,22,3.22988
11,c-fat200-2,22,3.18298
12,c-fat200-2,23,3.17762
13,c-fat200-2,22,3.13739
14,c-fat200-2,22,3.18519
15,c-fat200-2,23,3.39329
16,c-fat200-2,22,3.21404
17,c-fat200-2,24,3.56306
18,c-fat200-2,23,3.4103
19,c-fat200-2,24,5.16445
20,c-fat200-2,22,3.13419
1,c-fat200-5,57,6.8067
2,c-fat200-5,57,7.27999
3,c-fat200-5,58,6.04513
4,c-fat200-5,58,7.84071
5,c-fat200-5,56,6.71494
6,c-fat200-5,56,3.03713
7,c-fat200-5,57,4.93611
8,c-fat200-5,57,5.7485
9,c-fat200-5,58,7.30702
10,c-fat200-5,56,7.59928
11,c-fat200-5,56,5.30239
12,c-fat200-5,58,6.69908
13,c-fat200-5,57,4.25697
14,c-fat200-5,57,5.53496
15,c-fat200-5,56,6.60999
16,c-fat200-5,58,8.49223
17,c-fat200-5,56,5.60168
18,c-fat200-5,57,5.22626
19,c-fat200-5,57,6.73391
20,c-fat200-5,58,6.7959
1,c-fat500-1,14,6.54275
2,c-fat500-1,14,4.84007
3,c-fat500-1,12,4.23672
4,c-fat500-1,12,4.215
5,c-fat500-1,14,4.97419
6,c-fat500-1,12,4.59642
7,c-fat500-1,12,4.23266
8,c-fat500-1,14,6.50257
9,c-fat500-1,14,4.88164
10,c-fat500-1,12,4.26394
11,c-fat500-1,12,4.35342
12,c-fat500-1,14,5.17085
13,c-fat500-1,14,5.26235
14,c-fat500-1,14,5.26452
15,c-fat500-1,12,5.80019
16,c-fat500-1,14,5.26808
